	Microbial Species	Microbial TaxID	Clade_name	Kingdom	Phylum	Class	Order	Family	Genus	Species	#MultAlgSp	#UniAlgSp	#AlgSpTot	Chlamydomonas_asymmetrica	Chlamydomonas_callosa	Chlamydomonas_cribrum	Chlamydomonas_fottii	Chlamydomonas_globosa	Chlamydomonas_isabeliensis	Chlamydomonas_latifons	Chlamydomonas_parallestriata	Chlamydomonas_parallestriata_s2	Chlamydomonas_parallestriata_s3	Chlamydomonas_parallestriata_s4	Chlamydomonas_parallestriata_s5	Chlamydomonas_parallestriata_s6	Chlamydomonas_petasus	Chlamydomonas_pila	Chlamydomonas_schloesseri	Chlamydomonas_sp.	Chlamydomonas_typica	Chlamydomonas_typica_s2	Chlamydomonas_zebra	Eudorina_elegans	Eudorina_unicocca	Haematococcus_lacustris	Lobomonas_rostrata	Microglena_globulifera	Pandorina_morum	Pandorina_sp.	Paulschulzia_pseudovolvox	Tetrabaena_socialis	Tetraspora_cylindrica	Vitreochlamys_aulata	Vitreochlamys_fluviatilis	Vitreochlamys_ordinata	Vitreochlamys_ordinata_s2	Vitreochlamys_spec.	Volvox_aureus	Volvox_barberi	Volvox_giga	Volvox_globator	Volvox_sp.	Volvox_tertius
0	Malassezia restricta	76775	k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__Malassezia_restricta	1	7	8	116.0	0	0	242.0	177.5	0	0	0	0	0	168.5	0	149.0	138.0	0	0	0	0	0	0	0	187.5	0	325.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Micrococcus luteus	1270	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus_luteus	5	7	12	181.0	0	0	292.0	0	616.0	0	0	445.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.0	0	0	404.5	356.0	462.0	179.0	0	0	0	176.0	0	102.5	0	140.0	0	0
2	Pseudomonas fluorescens	294	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_fluorescens	7	17	24	8762.5	0	8083.0	0	0	78439.5	0	2079.0	1273.0	0	197692.5	0	440252.0	564584.0	0	38288.0	0	0	0	10530.5	0	7118.5	4825.5	0	24277.0	321705.0	5045.5	18653.5	0	0	3643.5	1681.0	1008.0	1021.0	1497.5	66551.0	0	0	267.5	19604.0	0
3	Bosea sp. RAC05	1842539	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_RAC05	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Boseaceae	g__Bosea	s__Bosea_sp_RAC05	6	20	26	129.0	0	200.0	1829.5	358.0	0	7387.5	280.5	0	928.0	0	16241.5	518.5	400333.0	0	164258.0	0	829406.0	3163190.0	183.0	4746.0	4662604.0	104691.5	1816.5	437498.0	0	0	2868867.0	0	618077.0	1438067.5	253983.5	436.5	0	0	9225.0	0	152.5	0	0	0
4	Tabrizicola piscis	2494374	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Tabrizicola|s__Tabrizicola_piscis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Tabrizicola	s__Tabrizicola_piscis	0	8	8	85.0	219.0	0	107.5	0	0	438323.5	0	0	0	23296.0	0	0	0	0	0	0	176432.0	0	0	0	0	74772.5	0	0	0	0	0	0	0	55.0	0	0	0	0	0	0	0	0	0	0
5	Acidovorax temperans	80878	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_temperans	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax_temperans	1	3	4	140.5	0	0	0	8340.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.0	0	0	0	0	0	0	0	1873.0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Microbacterium aurum	36805	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_aurum	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_aurum	1	2	3	0	204.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.5	0	0	0	0	148.0	0	0	0	0	0	0	0
7	Cutibacterium acnes	1747	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_acnes	4	12	16	0	128.5	98.5	134.0	0	117.0	0	0	0	275.5	0	0	633.5	120.0	0	82.0	983.5	0	110.0	0	0	0	335.0	0	0	94.0	0	0	144.0	0	0	0	470.5	0	0	144.0	0	0	169.0	0	0
8	Staphylococcus aureus	1280	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_aureus	0	1	1	0	26467.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Aeromonas caviae	648	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_caviae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_caviae	0	1	1	0	268.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
