Threshold	1TP	3TP	5TP	10TP	15TP	20TP	1FP	3FP	5FP	10FP	15FP	20FP
0	11.0	11.0	11.0	11.0	11.0	11.0	2699.5	3684.0	4040.75	4363.0	4541.75	4633.75
10	11.0	11.0	11.0	11.0	11.0	11.0	2695.75	3683.0	4038.0	4361.5	4541.0	4632.0
20	11.0	11.0	11.0	11.0	11.0	11.0	2685.0	3670.5	4029.0	4353.0	4532.75	4623.75
30	11.0	11.0	11.0	11.0	11.0	11.0	2661.0	3649.25	4008.75	4334.75	4513.75	4606.25
40	11.0	11.0	11.0	11.0	11.0	11.0	2556.0	3551.5	3914.0	4253.25	4437.25	4535.75
50	11.0	11.0	11.0	11.0	11.0	11.0	2211.25	3195.25	3596.75	3962.25	4151.0	4252.5
60	11.0	11.0	11.0	11.0	11.0	11.0	1161.25	1911.0	2278.0	2719.5	2931.5	3048.75
70	11.0	11.0	11.0	11.0	11.0	11.0	171.75	315.5	400.5	510.25	574.75	612.75
80	10.5	10.75	11.0	11.0	11.0	11.0	1.25	6.75	5.75	10.25	11.75	12.75
90	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
