Threshold	1TP	3TP	5TP	10TP	15TP	20TP	1FP	3FP	5FP	10FP	15FP	20FP
0	8.0	8.0	8.0	8.0	8.0	8.0	7.75	11.25	12.0	14.75	15.0	17.0
10	8.0	8.0	8.0	8.0	8.0	8.0	7.25	10.5	11.25	13.75	14.25	16.0
20	8.0	8.0	8.0	8.0	8.0	8.0	7.25	10.25	10.75	13.5	13.25	15.0
30	8.0	8.0	8.0	8.0	8.0	8.0	7.25	10.25	10.75	13.5	13.25	15.0
40	8.0	8.0	8.0	8.0	8.0	8.0	7.25	10.25	10.75	13.5	13.25	15.0
50	8.0	8.0	8.0	8.0	8.0	8.0	7.25	9.75	10.5	13.5	12.75	14.5
60	8.0	8.0	8.0	8.0	8.0	8.0	7.25	9.25	10.0	12.25	11.75	12.75
70	7.75	8.0	8.0	8.0	8.0	8.0	5.0	5.0	5.75	6.25	6.25	7.0
80	2.5	4.0	5.25	5.5	6.0	6.0	0.0	0.0	0.0	0.25	0.5	0.75
90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
